index,id,user_id,rating
1313,the+english+patient+1996,532569,5
6,2001+a+space+odyssey+1968,745963,4
1652,tron+1982,675338,4
1191,starship+troopers+1997,561956,3
1100,six+days+seven+nights+1998,274384,4
220,braveheart+1995,636368,3
957,pulp+fiction+1994,476177,5
38,ace+ventura+pet+detective+1994,161748,4
212,boxing+helena+1993,966510,3
359,dead+men+dont+wear+plaid+1982,634038,3
201,blade+trinity+2004,324756,4
911,pi+1998,250564,5
889,outbreak+1995,753270,3
987,ratatouille+2007,434104,5
1699,waterworld+1995,731824,1
1579,the+transporter+2002,882776,2
270,cinderella+1950,678658,3
1319,the+firm+1993,45310,3
1122,so+i+married+an+axe+murderer+1993,128142,5
1202,super+size+me+2004,161990,4
22,a+close+shave+1995,619127,5
288,city+slickers+ii+the+legend+of+curlys+gold+1994,533739,2
1684,up+2009,669892,5
1174,star+wars+1977,82522,5
908,phenomenon+1996,532569,1
