index,id,user_id,rating
1313,the+english+patient+1996,532569,5
6,2001+a+space+odyssey+1968,745963,4
1652,tron+1982,675338,4
1191,starship+troopers+1997,561956,3
1100,six+days+seven+nights+1998,274384,4
220,braveheart+1995,636368,3
957,pulp+fiction+1994,476177,5
38,ace+ventura+pet+detective+1994,161748,4
212,boxing+helena+1993,966510,3
359,dead+men+dont+wear+plaid+1982,634038,3
201,blade+trinity+2004,324756,4
911,pi+1998,250564,5
889,outbreak+1995,753270,3
987,ratatouille+2007,434104,5
1699,waterworld+1995,731824,1
1579,the+transporter+2002,882776,2
270,cinderella+1950,678658,3
1319,the+firm+1993,45310,3
1122,so+i+married+an+axe+murderer+1993,128142,5
1202,super+size+me+2004,161990,4
22,a+close+shave+1995,619127,5
288,city+slickers+ii+the+legend+of+curlys+gold+1994,533739,2
1684,up+2009,669892,5
1174,star+wars+1977,82522,5
908,phenomenon+1996,532569,1
760,matewan+1987,16641,4
788,mighty+morphin+power+rangers+the+movie+1995,677642,3
1645,toy+story+2+1999,546709,3
1261,the+blair+witch+project+1999,410465,4
1583,the+truman+show+1998,593358,4
421,eastern+promises+2007,987612,4
162,batman+forever+1995,223091,3
1006,road+to+perdition+2002,485567,4
997,repossessed+1990,104234,4
1685,up+in+the+air+2009,148789,4
494,forbidden+planet+1956,549739,4
468,father+of+the+bride+part+ii+1995,850940,5
931,popeye+1980,347265,1
70,almost+famous+2000,52953,4
187,big+daddy+1999,98554,4
1447,the+matrix+reloaded+2003,934360,4
410,dumb+and+dumber+1994,313659,5
336,d2+the+mighty+ducks+1994,947668,3
356,dead+man+walking+1995,642437,3
634,i+know+what+you+did+last+summer+1997,87244,4
1042,schindlers+list+1993,461289,4
185,big+1988,766157,2
601,heartbreak+ridge+1986,389060,3
1433,the+manchurian+candidate+1962,132683,4
746,lone+star+1996,584393,3
